"","lon","lat","location"
"120","151.7090784","-32.6195144","Glen oak, Australia"
"121","151.665178","-32.9173208","Elmore vale, Australia"
"122","151.4828306","-32.81723","kurri kurri, Australia"
"123","151.5165234","-32.7900049","cliftleigh, Australia"
"124","151.4315929","-32.8108251","abermain, Australia"
"125","151.4828306","-32.81723","Kurri kurri, Australia"
"126","149.0564849","-35.3368882","weston, Australia"
"127","151.4483941","-32.7785558","sawyers gully, Australia"
"128","151.4828306","-32.81723","Kurri Kurri, Australia"
"129","151.6613528","-32.877127","Maryland, Australia"
"130","151.4810298","-32.830848","pelaw main, Australia"
"131","151.5278121","-32.7645383","Gilliestion Heights, Australia"
"132","151.6476831","-32.9745721","Warners bay, Australia"
"133","151.6156653","-32.9107871","Cameron park, Australia"
"134","151.748173","-32.7573408","raymond terrace, Australia"
"135","151.9030107","-32.7891254","Salt Ash, Australia"
"136","151.748173","-32.7573408","Raymond Terrace, Australia"
"137","151.8674591","-32.7415092","Medowie, Australia"
"138","151.8674591","-32.7415092","medowie, Australia"
"139","151.748173","-32.7573408","Raymond terrace, Australia"
"140","151.1170049","-33.720133","Wahroonga, Australia"
"141","151.0970389","-33.7244662","Normanhurst, Australia"
"142","151.1279841","-33.733499","Turramurra, Australia"
"143","151.1280668","-33.7619959","West Pymble, Australia"
"144","151.0987055","-33.7046328","Hornsby, Australia"
"145","151.0841008","-33.7261881","Thornleigh, Australia"
"146","151.1112089","-33.7565487","South Turramurra, Australia"
"147","151.1097054","-33.6410592","8 black ash place hornsby he, Australia"
"148","151.4174771","-33.3092714","tuggerah, Australia"
"149","151.1218346","-33.7289366","Warawee, Australia"
"150","151.1279841","-33.733499","turramurra, Australia"
"151","133.775136","-25.274398","Macquarie, Australia"
"152","151.1218346","-33.7289366","Warrawee, Australia"
"153","151.1486507","-33.6981864","north turramurra, Australia"
"154","151.1231695","-33.7026952","North Wahroonga, Australia"
"155","151.5855467","-33.001687","blackalls park, Australia"
"156","151.5931348","-33.0132357","toronto, Australia"
"157","151.5931348","-33.0132357","Toronto, Australia"
"158","151.5941333","-33.0504524","fishing point, Australia"
"159","151.6001733","-32.992121","fennell bay, Australia"
"160","151.5936285","-33.0431042","Rathmines, Australia"
"161","151.5801991","-33.0720556","Wangi Wangi, Australia"
"162","151.5799693","-33.053247","buttaba, Australia"
"163","151.5937144","-33.0253107","kilaben bay, Australia"
"164","151.5807382","-33.0608373","arcadia vale, Australia"
"165","151.5937144","-33.0253107","Kilaben bay, Australia"
"166","151.5941333","-33.0504524","Fishing Point, Australia"
"167","151.5799693","-33.053247","dora creek/ buttaba, Australia"
"168","151.6001733","-32.992121","Fennel bay, Australia"
"169","151.6679837","-33.0217904","Belmont North, Australia"
"170","151.6831354","-33.0139432","Jewells, Australia"
"171","115.9297417","-31.9497631","Belmont, Australia"
"172","151.6831354","-33.0139432","jewells, Australia"
"173","151.6650065","-33.0111461","Floraville, Australia"
"174","151.6474174","-33.0555879","marks point, Australia"
"175","151.6620805","-32.9535766","Cardiff South, Australia"
"176","151.6451875","-33.1070067","caves beach, Australia"
"177","151.6679837","-33.0217904","belmont north, Australia"
"178","151.6687095","-32.9820675","Mount Hutton, Australia"
"179","151.6650065","-33.0111461","floraville, Australia"
"180","151.6696796","-32.9958494","Tingira Heights, Australia"
"181","151.6696796","-32.9958494","tingira heights, Australia"
"182","151.6565795","-33.0506395","belmont south, Australia"
"183","151.6471805","-32.9901833","Eleebana, Australia"
"184","151.5813847","-32.9039409","West Wallsend, Australia"
"185","151.7035246","-33.0143162","Redhead, Australia"
"186","151.5849368","-33.136229","Gwandalan, Australia"
"187","151.6696796","-32.9958494","Tingira heights, Australia"
"188","150.9385702","-33.7398598","glenwood, Australia"
"189","150.9385702","-33.7398598","Glenwood, Australia"
"190","150.9256047","-33.718078","Stanhope Gardens, Australia"
"191","150.9385702","-33.7398598","GLENWOOD, Australia"
"192","150.9525664","-33.6852445","North Kellyville, Australia"
"193","150.8849215","-33.7266312","qualkers hill, Australia"
"194","133.775136","-25.274398","missing data, Australia"
"195","150.9256047","-33.718078","stanhope gardens, Australia"
"196","151.307503","-33.528746","Umina, Australia"
"197","151.307503","-33.528746","Umina beach, Australia"
"198","133.775136","-25.274398","Umma beach, Australia"
"199","151.4650238","-33.4057691","Foresters beach, Australia"
"200","151.307503","-33.528746","Umina Beach, Australia"
"201","151.3259426","-33.4887953","Woy woy, Australia"
"202","151.7132619","-32.9500059","Adamstown heights, Australia"
"203","151.7532978","-32.9450413","Merewether, Australia"
"204","151.7152682","-32.9882621","Dudley, Australia"
"205","151.6100542","-32.766148","Metford, Australia"
"206","142.0216734","-37.7420251","Hamilton, Australia"
"207","151.6508854","-33.0762842","Blacksmiths, Australia"
"208","151.6472659","-32.7783554","Thornton, Australia"
"209","152.0792076","-32.7268343","Salamander bay, Australia"
"210","151.7657575","-32.9160349","Carrington, Australia"
"211","151.5301344","-33.11471","Windermere park, Australia"
"212","151.5989846","-32.7730213","Ashtonfield, Australia"
"213","151.7305971","-32.9241709","Broadmeadow, Australia"
"214","151.4724881","-33.3856724","Bateau Bay, Australia"
"215","151.5350336","-32.6958052","Aberglasslyn, Australia"
"216","151.7816802","-32.9282712","Newcastle, Australia"
"217","151.4932299","-33.3448256","The Entrance, Australia"
"218","151.3202408","-33.4190224","West gosford, Australia"
"219","151.4608377","-33.3654685","Killarney vale, Australia"
"220","151.4724881","-33.3856724","Bateau bay, Australia"
"221","151.447586","-33.3627951","Tumbi Umbi, Australia"
"222","133.775136","-25.274398","Sean, Australia"
"223","151.4608377","-33.3654685","Killarney Vale, Australia"
"224","151.4378279","-33.3417275","Berkeley vale, Australia"
"225","151.486092","-33.3565794","Long jetty, Australia"
"226","149.1868281","-21.1433971","Makai, Australia"
"227","133.775136","-25.274398","Crest haven, Australia"
"228","151.4378279","-33.3417275","Berkeley Vale, Australia"
"229","151.5051594","-33.3298042","The entrance north, Australia"
"230","151.5548858","-33.2702901","Noraville, Australia"
